governorate,year,month,temp_2m_K_mean,temp_2m_K_max,temp_2m_K_std,image_count,precip_m_mean,precip_m_max,precip_m_std,dewpoint_2m_K_mean,dewpoint_2m_K_max,dewpoint_2m_K_std,solar_rad_Jm2_mean,solar_rad_Jm2_max,solar_rad_Jm2_std,wind_u_ms_mean,wind_u_ms_max,wind_u_ms_std,wind_v_ms_mean,wind_v_ms_max,wind_v_ms_std
Gabes,2005,4,291.43460985231303,291.43460985231303,0,1,0.00433331535634739,0.00433331535634739,0,278.97351294989954,278.97351294989954,0,718707764.564728,718707764.564728,0,-1.9324566700648826,-1.9324566700648826,0,-0.7482722687806723,-0.7482722687806723,0
Gabes,2005,5,296.22568206314185,296.22568206314185,0,1,0.00012518711545563902,0.00012518711545563902,0,281.8969211843926,281.8969211843926,0,835473000.9938962,835473000.9938962,0,-2.9466229344769785,-2.9466229344769785,0,-0.3121745551669403,-0.3121745551669403,0
Gabes,2005,6,299.34583481710206,299.34583481710206,0,1,0.003965823293988406,0.003965823293988406,0,285.7866659845885,285.7866659845885,0,816012101.45426,816012101.45426,0,-3.4720814585706496,-3.4720814585706496,0,-0.31851030389408796,-0.31851030389408796,0
Gabes,2005,7,302.60275997310947,302.60275997310947,0,1,0.00019027308293816382,0.00019027308293816382,0,287.9856663239535,287.9856663239535,0,864464262.9487808,864464262.9487808,0,-3.9750886225799738,-3.9750886225799738,0,-0.33948711080168736,-0.33948711080168736,0
Gabes,2005,8,301.9895042491171,301.9895042491171,0,1,0.003581723669926613,0.003581723669926613,0,289.3296888798458,289.3296888798458,0,758970165.8354565,758970165.8354565,0,-3.5359733210340116,-3.5359733210340116,0,-0.6216179048675873,-0.6216179048675873,0
Gabes,2005,9,299.16762232287886,299.16762232287886,0,1,0.016987908692244702,0.016987908692244702,0,289.4659262024055,289.4659262024055,0,607351712.1568162,607351712.1568162,0,-3.060004320738795,-3.060004320738795,0,-0.8030359378462493,-0.8030359378462493,0
Gabes,2005,10,295.51027271163383,295.51027271163383,0,1,0.007603966044559733,0.007603966044559733,0,288.53903003376263,288.53903003376263,0,481219065.32344145,481219065.32344145,0,-2.5941815753328674,-2.5941815753328674,0,-0.4512594442388916,-0.4512594442388916,0
Gabes,2005,11,289.9105056726802,289.9105056726802,0,1,0.01154710976274694,0.01154710976274694,0,281.08984619466315,281.08984619466315,0,373754821.4424813,373754821.4424813,0,0.5165199849327883,0.5165199849327883,0,0.9160407137522446,0.9160407137522446,0
Gabes,2005,12,282.5232727456398,282.5232727456398,0,1,0.05718321883508595,0.05718321883508595,0,278.83476523052843,278.83476523052843,0,305556820.84605765,305556820.84605765,0,2.0227337242745587,2.0227337242745587,0,0.3239562743235012,0.3239562743235012,0
Gabes,2006,1,281.3344219504852,281.3344219504852,0,1,0.03871074499055028,0.03871074499055028,0,277.03726307168205,277.03726307168205,0,357607741.23260856,357607741.23260856,0,0.9659142154464138,0.9659142154464138,0,0.2700987860525605,0.2700987860525605,0
Gabes,2006,2,283.74570799097177,283.74570799097177,0,1,0.014367970336171463,0.014367970336171463,0,276.8719930326095,276.8719930326095,0,423511110.91522986,423511110.91522986,0,1.7925870413988751,1.7925870413988751,0,0.6004395411893664,0.6004395411893664,0
Gabes,2006,3,289.388212171703,289.388212171703,0,1,0.0006510413196600309,0.0006510413196600309,0,276.0058118691206,276.0058118691206,0,650790974.4180385,650790974.4180385,0,1.1846974767013378,1.1846974767013378,0,0.3734232701137541,0.3734232701137541,0
Gabes,2006,4,293.44624612720935,293.44624612720935,0,1,0.006759994902564028,0.006759994902564028,0,279.9129197931202,279.9129197931202,0,732859487.7131025,732859487.7131025,0,-2.2847982815698935,-2.2847982815698935,0,0.046263502426448146,0.046263502426448146,0
Gabes,2006,5,296.70866592357066,296.70866592357066,0,1,0.019056474539355144,0.019056474539355144,0,283.4259183707015,283.4259183707015,0,783213793.6257268,783213793.6257268,0,-3.592778300015217,-3.592778300015217,0,-0.46863683421768587,-0.46863683421768587,0
Gabes,2006,6,299.64132886247796,299.64132886247796,0,1,0.001428013160549154,0.001428013160549154,0,283.7030186996935,283.7030186996935,0,845091128.5272512,845091128.5272512,0,-3.6088332710689004,-3.6088332710689004,0,-0.27836775800365066,-0.27836775800365066,0
Gabes,2006,7,302.0624858983306,302.0624858983306,0,1,0.0009282572481651406,0.0009282572481651406,0,288.3911263210653,288.3911263210653,0,856938522.3312988,856938522.3312988,0,-3.42728301531323,-3.42728301531323,0,-0.4312303189665183,-0.4312303189665183,0
Gabes,2006,8,302.46565632443827,302.46565632443827,0,1,0.00436269673526584,0.00436269673526584,0,289.7957182707567,289.7957182707567,0,773562828.8031551,773562828.8031551,0,-3.442253934452418,-3.442253934452418,0,-0.48633704155963314,-0.48633704155963314,0
Gabes,2006,9,298.49639340352303,298.49639340352303,0,1,0.004538220739672958,0.004538220739672958,0,287.9903302415731,287.9903302415731,0,633087372.9119381,633087372.9119381,0,-1.8997459401828216,-1.8997459401828216,0,-0.3087612043055729,-0.3087612043055729,0
Gabes,2006,10,295.5606908030275,295.5606908030275,0,1,0.023176157294252524,0.023176157294252524,0,285.7104801194373,285.7104801194373,0,512294398.29305154,512294398.29305154,0,0.12342378344603015,0.12342378344603015,0,0.11037882997354939,0.11037882997354939,0
Gabes,2006,11,289.09698557455124,289.09698557455124,0,1,0.02662888758551289,0.02662888758551289,0,282.0799243906252,282.0799243906252,0,356541771.2535959,356541771.2535959,0,0.8066488702901411,0.8066488702901411,0,0.3653527550938759,0.3653527550938759,0
Gabes,2006,12,284.9569922617203,284.9569922617203,0,1,0.0246988273204977,0.0246988273204977,0,280.9963068563526,280.9963068563526,0,309478700.65774345,309478700.65774345,0,0.42227585536772916,0.42227585536772916,0,0.36419271689810007,0.36419271689810007,0
Gabes,2007,1,284.78517611030753,284.78517611030753,0,1,0.001920287978964799,0.001920287978964799,0,278.1889697736707,278.1889697736707,0,384096489.0045328,384096489.0045328,0,1.0973841909924342,1.0973841909924342,0,0.4221821119872874,0.4221821119872874,0
Gabes,2007,2,286.5641473206659,286.5641473206659,0,1,0.023844065153327182,0.023844065153327182,0,278.41865079205087,278.41865079205087,0,435496780.5819321,435496780.5819321,0,1.4238630622055433,1.4238630622055433,0,-0.11851370903605514,-0.11851370903605514,0
Gabes,2007,3,287.0500615890794,287.0500615890794,0,1,0.05199017549127301,0.05199017549127301,0,278.5774826413568,278.5774826413568,0,612796448.2691623,612796448.2691623,0,0.7482232337545759,0.7482232337545759,0,-0.07213748647197217,-0.07213748647197217,0
Gabes,2007,4,290.66311521818915,290.66311521818915,0,1,0.06739377900163247,0.06739377900163247,0,283.8330907827729,283.8330907827729,0,654156332.3983295,654156332.3983295,0,-4.221214386956393,-4.221214386956393,0,-1.4682815217985699,-1.4682815217985699,0
Gabes,2007,5,295.5612014498156,295.5612014498156,0,1,0.0016052738224744307,0.0016052738224744307,0,283.0442699177144,283.0442699177144,0,820124785.924046,820124785.924046,0,-2.131525925725598,-2.131525925725598,0,-0.23127530482232828,-0.23127530482232828,0
Gabes,2007,6,300.538064038743,300.538064038743,0,1,0.009387207685158784,0.009387207685158784,0,285.6645716385916,285.6645716385916,0,847630809.8941357,847630809.8941357,0,-3.4547093897403984,-3.4547093897403984,0,-0.6864275146633567,-0.6864275146633567,0
Gabes,2007,7,300.8735026196988,300.8735026196988,0,1,0.00010141419869514296,0.00010141419869514296,0,286.5142979720327,286.5142979720327,0,880421990.865974,880421990.865974,0,-3.646367383658277,-3.646367383658277,0,-0.4118897671914337,-0.4118897671914337,0
Gabes,2007,8,302.8326676522849,302.8326676522849,0,1,0.0016560403892858337,0.0016560403892858337,0,288.1543393243152,288.1543393243152,0,777974387.1632935,777974387.1632935,0,-2.9670695695564695,-2.9670695695564695,0,0.1678834804297515,0.1678834804297515,0
Gabes,2007,9,299.7880519576407,299.7880519576407,0,1,0.0014144533172544432,0.0014144533172544432,0,288.9981855000794,288.9981855000794,0,626398262.6090012,626398262.6090012,0,-3.0156902103158036,-3.0156902103158036,0,-0.21520940488145174,-0.21520940488145174,0
