governorate,year,month,ETa_mean,ETa_max,ETa_std,PET_mean,PET_max,PET_std,image_count
Gabes,2021,4,4.670318010085468,5.923975802417868,1.136031469059528,46.779394934614345,53.94358521846086,5.25693990798499,3
Gabes,2021,5,4.733580200891525,6.792099294394478,1.600603090372467,51.45585616406042,58.19263282402645,6.290925004345529,4
Gabes,2021,6,3.405743622653627,7.249319403679969,2.493684497205021,59.908167785002576,69.8508765803771,7.709340264226555,4
Gabes,2021,7,1.7232867910520557,2.4629964483788127,0.5488214631317863,65.36213197937603,69.19748555286066,3.126135121465434,4
Gabes,2021,8,2.0405698008386737,3.2151908091971144,0.7273150239192001,59.24885209338029,64.4774879436774,5.062905106006852,4
Gabes,2021,9,2.450113957021923,3.4263965043742495,0.658493303414427,49.58349447752785,56.810397536200384,6.015790711046429,4
Gabes,2021,10,3.3510355487186594,4.190659456466685,0.826261467994783,39.58448234098712,43.48107951667751,2.8389914063059636,3
Gabes,2021,11,3.909553043100768,6.003014945750484,1.8018638998036958,31.222257481526263,41.26723448564409,7.3941573862653405,4
Gabes,2021,12,5.145424810386219,6.2983342928058415,1.0088208386334372,20.388712906950026,23.60398070988383,3.8121961513013485,4
Gabes,2022,1,6.284116876335006,7.207226243617946,0.5878808802043679,22.06016482479405,24.763958752119517,2.5112277913751586,4
Gabes,2022,2,5.77050274786635,6.669962218803755,0.8712035769659167,28.301382426867743,33.85357348458394,3.540434516138322,4
Gabes,2022,3,4.784938247720076,6.506549264981136,1.164862739358909,39.70192578716068,46.509476757171676,5.7135236538881715,4
Gabes,2022,4,4.40028427650006,5.1290462214084975,0.644904990109633,46.793776221649715,53.88862317267675,5.380793150573438,3
Gabes,2022,5,2.4639885586835435,3.819304272326601,1.1286107150882134,62.59380290861738,70.5625456535895,5.282700135673141,4
Gabes,2022,6,1.7336380051780063,2.931070865695869,0.8387641717281358,65.08754368745727,69.48251117549533,3.6067250703420703,4
Gabes,2022,7,2.252915459461499,3.611817555515707,0.9340996353532015,64.70717858457361,68.89315251208775,3.5278707547478447,4
Gabes,2022,8,1.5851425681776021,2.518782382197215,0.733297356822754,64.3182245511713,71.90719793131443,4.8097564437567675,4
Gabes,2022,9,2.127001207991617,3.1413441423416746,0.7556257384518604,51.89170150652902,57.18086434317024,4.244066929806984,4
Gabes,2022,10,2.1554455570131155,2.441114498101509,0.2856689410883866,44.386699194357604,45.56252740788279,1.175828213525099,2
Gabes,2022,11,2.7335504729727598,4.214691254329427,1.0542363627769262,34.8806630112337,42.428491614839324,5.33361041979355,4
Gabes,2022,12,3.6028965059471454,5.21343544637494,1.379352385289263,25.439993802751314,31.431149825564685,4.319910314250539,4
Gabes,2023,1,4.421899645467037,4.9411387208501125,0.4586651815875646,26.6856152263569,28.053753739583446,1.0094153954039145,4
Gabes,2023,2,4.573357886392162,6.980675279898571,2.1472939743495614,31.209611161968386,41.88181060327234,8.886065144046443,4
Gabes,2023,3,3.596243901057931,5.461764234010611,1.1681098446711866,44.09830078991328,48.80683144427341,5.773261924628672,4
Gabes,2023,4,3.2578435042662446,4.044495616311671,0.7290900316554694,52.2123352512298,59.99461814566998,5.584038164105576,3
Gabes,2023,5,4.18751395953858,5.350971583884638,0.8024971087169949,52.84179053299481,54.07029787689193,0.9361426283579769,4
Gabes,2023,6,3.458986482447944,6.623852801187859,2.0123066263464144,61.30212373734997,69.22105523101253,6.233578194134649,4
Gabes,2023,7,1.030039825973709,1.545530902879366,0.4166802993347075,69.43786747010685,76.08988715974127,4.106653115513188,4
Gabes,2023,8,2.377158183985927,3.552979869952158,0.8245060399145062,59.47420945756764,63.58192353790531,4.086898903170061,4
Gabes,2023,9,2.678414149231006,4.020411597977886,0.8512071275882025,50.35091197075658,55.868412277473126,5.795921426827052,4
Gabes,2023,10,1.8581716124066665,2.9378233501005044,0.8931713598858644,47.78922790250919,55.602727733159654,5.719829387178036,3
Gabes,2023,11,3.169610359786465,4.960418141265827,1.1495247602346312,33.94786596011736,40.616427742282546,4.368085208470831,4
Gabes,2023,12,5.1578316550429,6.348336337583313,0.926211817955446,19.700716930442965,23.916778500265842,4.278704877596947,4
Gabes,2024,1,4.262288876725071,4.935863509530221,0.4898365774877698,27.2447838512912,30.222681615562923,2.0067156639310433,4
Gabes,2024,2,4.650391889468768,7.0205320825586846,1.3930302329909903,31.05655130975864,35.57738727770912,3.7215533915897736,4
Gabes,2024,3,2.8160768270086813,3.66149684003235,0.6142213597214701,45.82517710918795,50.5646546056253,3.5445934759178086,4
Gabes,2024,4,6.196015357851792,7.493550771824871,1.4141192270165095,43.88758544810517,51.691691911804035,5.056584308103473,4
Gabes,2024,5,2.960279830419785,3.9103742571952473,0.7704526581799317,55.892206671427324,60.351911237782474,4.765934921385229,3
Gabes,2024,6,2.7510322980467654,3.7467480173522967,0.7118525782786358,59.72346704605151,62.88175020369123,2.1471154284282044,4
Gabes,2024,7,1.8238868545974452,2.553132127229194,0.5647955120236142,65.36181527480237,69.6730262392139,2.9524476073289883,4
Gabes,2024,8,2.3600798092379893,3.0754003831598435,0.5463789931178491,60.548132174416374,62.40432989496138,1.4578249964716943,4
Gabes,2024,9,3.084890588675705,4.2367679303391395,1.078103747625639,50.01435488843375,59.84145393116331,5.759687202696991,4
Gabes,2024,10,4.311289373763302,5.799016619322204,1.0390516932163942,33.313286098973556,42.96645526813326,5.883862249159754,4
Gabes,2024,11,3.9009325233917176,4.58281380256258,0.6426478163462638,30.596021701905034,33.26001925236644,2.3950893242421207,3
Gabes,2024,12,5.037679743805115,5.460849117442569,0.32272997983179685,21.39284131268421,25.87654011066969,5.363656687449006,4
Gafsa,2002,1,,,,,,,0
Gafsa,2002,2,,,,,,,0
Gafsa,2002,3,,,,,,,0
Gafsa,2002,4,,,,,,,0
Gafsa,2002,5,,,,,,,0
Gafsa,2002,6,,,,,,,0
Gafsa,2002,7,,,,,,,0
Gafsa,2002,8,,,,,,,0
Gafsa,2002,9,,,,,,,0
Gafsa,2002,10,,,,,,,0
Gafsa,2002,11,,,,,,,0
Gafsa,2002,12,,,,,,,0
Gafsa,2003,1,,,,,,,0
Gafsa,2003,2,,,,,,,0
Gafsa,2003,3,,,,,,,0
Gafsa,2003,4,,,,,,,0
Gafsa,2003,5,,,,,,,0
Gafsa,2003,6,,,,,,,0
Gafsa,2003,7,,,,,,,0
Gafsa,2003,8,,,,,,,0
Gafsa,2003,9,,,,,,,0
Gafsa,2003,10,,,,,,,0
Gafsa,2003,11,,,,,,,0
Gafsa,2003,12,,,,,,,0
Gafsa,2004,1,,,,,,,0
Gafsa,2004,2,,,,,,,0
Gafsa,2004,3,,,,,,,0
Gafsa,2004,4,,,,,,,0
Gafsa,2004,5,,,,,,,0
Gafsa,2004,6,,,,,,,0
Gafsa,2004,7,,,,,,,0
Gafsa,2004,8,,,,,,,0
Gafsa,2004,9,,,,,,,0
Gafsa,2004,10,,,,,,,0
Gafsa,2004,11,,,,,,,0
Gafsa,2004,12,,,,,,,0
Gafsa,2005,1,,,,,,,0
Gafsa,2005,2,,,,,,,0
Gafsa,2005,3,,,,,,,0
Gafsa,2005,4,,,,,,,0
Gafsa,2005,5,,,,,,,0
Gafsa,2005,6,,,,,,,0
Gafsa,2005,7,,,,,,,0
Gafsa,2005,8,,,,,,,0
Gafsa,2005,9,,,,,,,0
Gafsa,2005,10,,,,,,,0
Gafsa,2005,11,,,,,,,0
Gafsa,2005,12,,,,,,,0
Gafsa,2006,1,,,,,,,0
Gafsa,2006,2,,,,,,,0
Gafsa,2006,3,,,,,,,0
Gafsa,2006,4,,,,,,,0
Gafsa,2006,5,,,,,,,0
