governorate,year,month,S2_scene_count,S2_NDVI_mean,S2_NDWI_mean,S2_NDVI_std,S2_NDWI_std
Gafsa,2017,6,20,0.11307768088191608,-0.27825115273605067,0.04559861775109764,0.04334364694568425
Gafsa,2017,7,33,0.10360329861280886,-0.27067045341693846,0.04406727697713859,0.04381141988840845
Gafsa,2017,8,25,0.10495231934482085,-0.27505003172743037,0.046314673998522744,0.04682643904054395
Gafsa,2017,9,19,0.10466400712749314,-0.27548646841956964,0.048082967351839104,0.04832800436700544
Gafsa,2017,10,19,0.13245678757650314,-0.2874760946548836,0.0680770847839912,0.06750410901020439
Gafsa,2017,11,10,0.15203009692156472,-0.30402053079376584,0.07038059147756844,0.06343237280034554
Gafsa,2017,12,7,0.16487004465727179,-0.32171125868861244,0.07553303177953719,0.07204048065084073
Gafsa,2018,1,16,0.1521565002117749,-0.31034075165856473,0.06366214414517352,0.05929471470976847
Gafsa,2018,2,16,0.17300226590289466,-0.32620712610941066,0.062420740517078785,0.05266393211761857
Gafsa,2018,3,21,0.14628200119322632,-0.2913215530795645,0.0552712307205879,0.04724378320878932
Gafsa,2018,4,24,0.12939623713800688,-0.2837117348122705,0.04595773340344184,0.03998409333001855
Gafsa,2018,5,17,0.11584558224502454,-0.27113603872872244,0.05024927290675459,0.046276442969519695
Gafsa,2018,6,29,0.10969638950960785,-0.26861961094165737,0.0498303058381285,0.04595155651180196
Gafsa,2018,7,24,0.0975654598038838,-0.2573416247585023,0.03768850498540655,0.036166827301599064
Gafsa,2018,8,18,0.09875539579302994,-0.25136853547229787,0.03184163862902286,0.03026771445375042
Gafsa,2018,9,17,0.10959287884340506,-0.2579974778987068,0.04064848303371751,0.03631069027544781
Gafsa,2018,10,18,0.13157686386202824,-0.27687482099801425,0.059810631804391966,0.049731983438916
Gafsa,2018,11,18,0.1747681031074884,-0.3190826544533579,0.08271314388459601,0.0653241840159854
Gafsa,2018,12,36,0.15837445596370978,-0.31517545210898545,0.08292742254568201,0.07542408458413963
Gafsa,2019,1,29,0.1484011039242853,-0.3096101862669753,0.07102410881604024,0.06708243392323061
Gafsa,2019,2,30,0.14328450323943973,-0.29989563610751446,0.06056485483825553,0.057105605155812304
Gafsa,2019,3,31,0.13413319793445616,-0.2867883687691397,0.05381738649675268,0.04902987308100516
Gafsa,2019,4,28,0.13720473531000588,-0.2828997131028153,0.05285138759675277,0.0466004688285032
Gafsa,2019,5,36,0.11860931489885149,-0.27485672766678576,0.04500718425540206,0.04364317362481498
Gafsa,2019,6,39,0.10576287281949205,-0.2596843495738411,0.04346948476525162,0.04111583313598466
Gafsa,2019,7,43,0.09447373340773563,-0.2525315240932352,0.04001455893866683,0.03968903065264496
Gafsa,2019,8,49,0.08750642442159247,-0.24693489275113012,0.04058100311039336,0.04148785690614304
Gafsa,2019,9,39,0.09804084131545088,-0.24952450668258,0.04717323398086011,0.04248112209181286
Gafsa,2019,10,29,0.10851810965778749,-0.26114449361495273,0.05147812901318021,0.04670450792421424
Gafsa,2019,11,28,0.1315430179935505,-0.28187194093459855,0.058632275909546186,0.050560567071403474
Gafsa,2019,12,36,0.1479854408569939,-0.30473525224350645,0.06374733469923578,0.058452965255134236
Gafsa,2020,1,36,0.1415390739830927,-0.3013203523405107,0.05657471176507672,0.052392909966195146
Gafsa,2020,2,33,0.1287130825178232,-0.28680133521673334,0.048015404446509515,0.04520832340590422
Gafsa,2020,3,26,0.12305311634788817,-0.28202873794894384,0.04487153413139251,0.04208619528464942
Gafsa,2020,4,17,0.1218018667225961,-0.2642919522337298,0.050981254394038264,0.04670487895139191
Gafsa,2020,5,30,0.11390464327761503,-0.26291180306270523,0.047454492449440576,0.043635544092241525
Gafsa,2020,6,40,0.1020025031162396,-0.2554870903563104,0.04497580096801357,0.04071153173068437
Gafsa,2020,7,48,0.09296911269904164,-0.24904991623216235,0.040945173966979644,0.03879909646656945
Gafsa,2020,8,52,0.09080915456425573,-0.2469979902044931,0.04035570844808235,0.039338614171959115
Gafsa,2020,9,26,0.0924854695596927,-0.24062462445868585,0.051145784670530804,0.053535155921718466
Gafsa,2020,10,31,0.11575776868333933,-0.27191752258672713,0.05758373054842086,0.0539835376472135
Gafsa,2020,11,34,0.11197376003418294,-0.26911490451226805,0.06209480174673059,0.0582961908100146
Gafsa,2020,12,34,0.12923324249715806,-0.28795954396795725,0.06411061881558429,0.058868003750467225
Gafsa,2021,1,29,0.12693466228245368,-0.2881743052654505,0.06169541058433875,0.060554786725262
Gafsa,2021,2,28,0.12400275770293928,-0.2828522986685854,0.05302948342735344,0.04888361879558419
Gafsa,2021,3,34,0.11580977219164534,-0.2732133628492517,0.04762995437300975,0.0425637631124729
Gafsa,2021,4,14,0.10824633745583132,-0.2644275957232563,0.04677769819443269,0.041507555605225024
Gafsa,2021,5,33,0.09925173451958368,-0.2567701823235045,0.04346065456578822,0.040167207250814005
Gafsa,2021,6,36,0.09122570867617848,-0.24815861868297456,0.040784093109983946,0.037612360894712614
Gafsa,2021,7,48,0.09138480197130054,-0.25185601322188694,0.03720304748362816,0.03647000525285857
Gafsa,2021,8,44,0.09010430836714593,-0.2538333088188418,0.03837351891201355,0.03874814602368395
Gafsa,2021,9,42,0.08346946696981697,-0.2439908123290582,0.0365973662682172,0.03606133945216645
Gafsa,2021,10,26,0.09574407806438903,-0.256507052829865,0.050092213376790456,0.045877048972760445
Gafsa,2021,11,29,0.11189880316457418,-0.2786068283986957,0.05884246893759197,0.053316457457154395
