governorate,year,month,precip_total_mm,precip_max_daily_mm,rain_days
Gabes,2012,7,0.05493052949189483,0.05493052949189483,0.0465754023315015
Gabes,2012,8,0.0,0.0,0.0
Gabes,2012,9,8.671653900509705,5.657716221779119,1.790842246719619
Gabes,2012,10,16.91962520733718,5.732545460762661,5.280796250368736
Gabes,2012,11,17.105775972576193,9.139345736571274,2.622611412776279
Gabes,2012,12,14.727952764994129,7.291157090606213,2.3817369358345446
Gabes,2013,1,23.61005319142162,13.43256471818548,3.0339345999628544
Gabes,2013,2,9.078233871097082,5.881823231204684,1.9290279583519983
Gabes,2013,3,16.55653881481088,5.76611889702877,4.447279004468529
Gabes,2013,4,14.551813193549512,6.222375166297777,4.835112368757443
Gabes,2013,5,9.24596623406287,2.987815062631324,6.015787346087034
Gabes,2013,6,2.304445651162164,1.6480430527544887,1.5235608386413046
Gabes,2013,7,0.04458601264629363,0.04458601264629363,0.02512864775098603
Gabes,2013,8,2.617623013792591,2.4090285061439305,1.2484676987621413
Gabes,2013,9,34.715160442907624,12.235868734401155,4.4464268155448
Gabes,2013,10,14.278331385444801,8.653919991175842,2.161249440068175
Gabes,2013,11,25.53282316511277,12.992008046978127,3.189284270559057
Gabes,2013,12,40.43042253008634,22.291659243619026,2.831670836565461
Gabes,2014,1,23.96528290931367,14.95625930786664,2.546406057096658
Gabes,2014,2,24.680625054968324,23.009192033852784,1.3010193490587685
Gabes,2014,3,31.230053680423595,17.62098160677144,3.6155644659069797
Gabes,2014,4,8.157034811863948,3.3644730732253394,3.7612559953675877
Gabes,2014,5,8.123451599744515,2.7519590419401747,5.0027095237575
Gabes,2014,6,3.67498239537285,1.698185677380114,2.8744660162352913
Gabes,2014,7,0.02315424533083677,0.02315424533083677,0.03910236100033869
Gabes,2014,8,0.01908305105901343,0.01908305105901343,0.012487845382337841
Gabes,2014,9,10.089849301952327,5.949307457671294,2.0123895158911385
Gabes,2014,10,13.90561092630269,11.303737997853737,1.836478056135214
Gabes,2014,11,22.52384577794267,13.237787360869115,3.096603262354008
Gabes,2014,12,29.220036177403408,15.01633027265446,2.604212872422949
Gabes,2015,1,28.78331592658935,15.697657822648326,2.6783096067912915
Gabes,2015,2,35.05615160628668,19.734764184924597,2.4694686929825522
Gabes,2015,3,21.248305500604737,14.414927302349923,2.4884572102830798
Gabes,2015,4,2.3045232854656956,1.6153503292686269,1.0492302985938882
Gabes,2015,5,4.80064817038876,3.342538211369611,1.5640835145145249
Gabes,2015,6,1.9415637140811741,1.809789907512381,0.8389581444132462
Gabes,2015,7,0.0,0.0,0.0
Gabes,2015,8,4.670100709357224,2.1504928867895905,3.4645740694206197
Gabes,2015,9,20.053884820986884,10.73752197326464,2.8978028821466433
Gabes,2015,10,22.703835784148406,12.4833396774596,3.166865146565571
Gabes,2015,11,32.301083841759784,19.696838302956877,2.2706355362781196
Gabes,2015,12,14.213849723081854,8.197166544220282,2.120125861748736
Gabes,2016,1,18.756351321416318,11.58512829463351,2.2956112270427957
Gabes,2016,2,16.105630231950904,6.95620607357776,3.619683379038337
Gabes,2016,3,8.17018827444231,5.671669776045894,1.7229621212948907
Gabes,2016,4,13.88819251366464,5.517619642786619,4.002676747260434
Gabes,2016,5,13.274786993212759,4.60712015547674,5.119470331807406
Gabes,2016,6,0.7424922264434083,0.6868024142054778,0.4052595352292716
Gabes,2016,7,0.0,0.0,0.0
Gabes,2016,8,0.0,0.0,0.0
Gabes,2016,9,19.83913482568924,10.350264280159573,2.5811819204842186
Gabes,2016,10,7.264501166546348,4.643920748601783,1.8146926110850112
Gabes,2016,11,26.972489684983312,14.59560853777062,3.190431447956386
Gabes,2016,12,88.49081351339326,44.331435986109284,3.756995050748941
Gabes,2017,1,16.347163453053298,6.343648668316443,2.7744321471883238
Gabes,2017,2,22.17358067034139,10.439036820266157,2.8104644429634322
Gabes,2017,3,13.697712273907646,7.265226344854704,2.358061379453507
Gabes,2017,4,15.947466022707504,8.397917735749727,4.278141354106349
Gabes,2017,5,9.297800978684041,2.765882444490596,5.497132056506682
