governorate,year,month,tws_anomaly_cm,is_interpolated,extraction_weight,tws_weighted_cm,tws_estimated_Mm3
Gafsa,2005,12,0.7132168559245664,False,0.05631221754593033,0.04016282274824864,17.257161678467476
Gafsa,2006,1,0.5043759220985576,False,0.05631221754593033,0.02840252665014319,12.203997651033525
Gafsa,2006,2,1.3475168872505967,False,0.05631221754593033,0.07588166410167048,32.60483343120577
Gafsa,2006,3,2.4570396514248167,False,0.05631221754593033,0.13836135137001113,59.451105456666376
Gafsa,2006,4,1.1961342686716643,False,0.05631221754593033,0.06735697315158104,28.94194422377134
Gafsa,2006,5,0.1563258857633513,False,0.05631221754593033,0.008803057287166093,3.782497655149527
Gafsa,2006,6,0.33361019314713225,False,0.05631221754593033,0.018786329772041147,8.07211017645064
Gafsa,2006,7,0.0741235120261444,False,0.05631221754593033,0.0041740593344846266,1.7935098148413542
Gafsa,2006,8,0.5635411981238556,False,0.05631221754593033,0.031734254544844784,13.635574492828908
Gafsa,2006,9,0.08045347040219702,False,0.05631221754593033,0.004530513327613586,1.9466709666090058
Gafsa,2006,10,-0.0651784842864282,False,0.05631221754593033,-0.0036703449864513463,-1.5770738337784145
Gafsa,2006,11,0.41901481121130213,False,0.05631221754593033,0.023595653203897775,10.138580268650795
Gafsa,2006,12,0.0782002638850794,False,0.05631221754593033,0.004403630272045751,1.8921518552926182
Gafsa,2007,1,0.49263663264385144,False,0.05631221754593033,0.027741461228535127,11.919951060676974
Gafsa,2007,2,0.788307772034991,False,0.05631221754593033,0.04439135875198207,19.074079028551655
Gafsa,2007,3,0.15099887376835938,False,0.05631221754593033,0.008503081428834327,3.653604028341533
Gafsa,2007,4,-0.2066717620290008,False,0.05631221754593033,-0.011638145223977837,-5.0006782398387974
Gafsa,2007,5,0.2689525126233359,False,0.05631221754593033,0.015145312400369867,6.507637832190924
Gafsa,2007,6,0.37753014401356555,False,0.05631221754593033,0.021259559599838312,9.134807568858527
