governorate,year,month,NDVI_mean,NDVI_max,NDVI_std,LST_Day_C_mean,LST_Day_C_max,LST_Day_C_std,LST_Night_C_mean,LST_Night_C_max,LST_Night_C_std,precip_total_mm,precip_max_daily_mm,rain_days,tws_anomaly_cm,tws_weighted_cm,tws_estimated_Mm3,temp_2m_K_mean,temp_2m_K_max,precip_m_mean,precip_m_max,dewpoint_2m_K_mean,dewpoint_2m_K_max,solar_rad_Jm2_mean,solar_rad_Jm2_max,wind_u_ms_mean,wind_u_ms_max,wind_v_ms_mean,wind_v_ms_max,S2_NDVI_mean,S2_NDWI_mean,S2_NDVI_std,S2_NDWI_std,elevation_mean_m,elevation_std_m,elevation_min_m,elevation_max_m,clay_pct,sand_pct,soc_g_kg,LST_mean_C,days,GDD_18,heat_stress_flag,DTR,temp_2m_C,dewpoint_2m_C,VPD_kPa,wind_speed_ms,wind_speed_max_ms,sirocco_risk,precip_era5_mm,solar_MJ_m2,ET0_proxy,water_deficit_proxy
Tozeur,2009,12,0.0995775225594745,0.1045230763091449,0.00494555374967,21.05001727630114,22.191606529516864,0.9196801276096016,7.7803078449532865,8.65602014402719,0.7511544593438773,5.551133653880489,3.2462788897336465,2.242676000899685,-1.856394101721129,-0.3947214741920127,-169.603923030824,285.78678416520603,285.78678416520603,0.0030090927632581,0.0030090927632581,277.3805023480555,277.3805023480555,342782313.22838527,342782313.22838527,1.8784858599469367,1.8784858599469367,0.3656304083559752,0.3656304083559752,,,,,46.488534220731445,104.29019544026286,-57,860,242.2664768143364,451.853569363701,125.42576767215724,14.415162560627213,31,0.0,0,13.269709431347854,12.636784165206052,4.230502348055495,0.6360038359206391,1.913738415127611,1.913738415127611,0,3.0090927632581,342.78231322838525,87.41293701134889,-84.40384424809079
Tozeur,2010,1,0.1009887467564348,0.1077358069671295,0.0067470602106944,18.86841722057452,21.34051392002585,2.4729051306435994,7.26986637806521,9.078794303203464,1.7353852086070771,14.900999437544604,9.91284991810169,2.7165007872244704,-1.6151798920606966,-0.3434325650401508,-147.566104546452,284.7168020624056,284.7168020624056,0.0089006668261033,0.0089006668261033,277.06230684083494,277.06230684083494,381595501.14224505,381595501.14224505,1.259312990478759,1.259312990478759,0.0030010981419854,0.0030010981419854,,,,,46.488534220731445,104.29019544026286,-57,860,242.2664768143364,451.853569363701,125.42576767215724,13.069141799319866,31,0.0,0,11.598550842509312,11.5668020624056,3.912306840834958,0.554743761463074,1.2593165664671504,1.2593165664671504,0,8.9006668261033,381.59550114224504,87.77879268175774,-78.87812585565443
Tozeur,2010,2,0.097852217790499,0.1027643968829987,0.0049121790924992,25.19819058271949,30.702861374183403,4.151855542341917,11.04931441800704,15.077325122261277,3.061600691529655,4.24231545053367,2.4289610661030827,2.7591936572199707,-2.0290281071981964,-0.4314283076571712,-185.37611523413327,287.56493369737893,287.56493369737893,0.0068829087596795,0.0068829087596795,274.9227192993971,274.9227192993971,445560361.2417848,445560361.2417848,1.8929934268928896,1.8929934268928896,0.1232227361525566,0.1232227361525566,,,,,46.488534220731445,104.29019544026286,-57,860,242.2664768143364,451.853569363701,125.42576767215724,18.123752500363267,28,3.4650700101714733,0,14.148876164712451,14.414933697378956,1.7727192993971244,0.9479160251075608,1.8969997250829027,1.8969997250829027,0,6.8829087596795,445.5603612417848,124.18026949384112,-117.29736073416163
Tozeur,2010,3,0.1031742795267579,0.109053649404907,0.0058793698781489,29.50634334821106,31.63863325888817,2.227387544410296,12.036189304437968,14.507418570225877,2.0418999805753724,5.954755371469988,2.486032503269515,3.4510796221322524,-2.4992398208751685,-0.5314085115550656,-228.3356092449806,291.2824197447579,291.2824197447579,0.0058244639530454,0.0058244639530454,275.3929836025538,275.3929836025538,637000491.2712456,637000491.2712456,-0.8174401207580971,-0.8174401207580971,-0.089105447957881,-0.089105447957881,,,,,46.488534220731445,104.29019544026286,-57,860,242.2664768143364,451.853569363701,125.42576767215724,20.771266326324515,31,85.90925611605996,0,17.470154043773093,18.132419744757897,2.2429836025538066,1.3632302471387994,0.8222822701972766,0.8222822701972766,0,5.8244639530454,637.0004912712456,220.04040455421975,-214.21594060117434
Tozeur,2010,4,0.0989860640692916,0.1058724843850631,0.0068864203157718,36.06686210486835,38.759022494276,2.054806553954682,18.107795717174287,19.690194909929644,1.3261006377546187,21.480897149102507,7.300146936267626,5.028621232568599,-3.2403503348217426,-0.688989401481927,-296.0449660287544,294.83087260688546,294.83087260688546,0.0075764751060667,0.0075764751060667,281.56942207325665,281.56942207325665,729017369.8638167,729017369.8638167,-2.427261961352926,-2.427261961352926,-0.2684644660040605,-0.2684644660040605,,,,,46.488534220731445,104.29019544026286,-57,860,242.2664768143364,451.853569363701,125.42576767215724,27.087328911021316,30,272.6198673306395,0,17.95906638769406,21.680872606885487,8.41942207325667,1.4891366439789948,2.4420634304902276,2.4420634304902276,0,7.5764751060667,729.0173698638167,280.5397030522679,-272.9632279462012
Tozeur,2010,5,0.0939624260559542,0.0985252976588555,0.0045628716029012,40.0825659974845,42.82642214786427,1.9525735234486192,19.537903702925256,21.83461777264732,1.5088076822932952,6.531847939938822,2.590781738257661,4.643345141700404,-2.742444462022902,-0.5831206422902202,-250.5552775792618,297.2981970925155,297.2981970925155,0.0066556665524321,0.0066556665524321,278.8445451791548,278.8445451791548,811848478.8887469,811848478.8887469,-1.1574267089966692,-1.1574267089966692,-0.3009627821909081,-0.3009627821909081,,,,,46.488534220731445,104.29019544026286,-57,860,242.2664768143364,451.853569363701,125.42576767215724,29.81023485020488,31,366.1172803563512,0,20.544662294559245,24.148197092515545,5.694545179154829,2.0950451994376342,1.1959160434424116,1.1959160434424116,0,6.6556665524321,811.8484788887469,355.03046447954426,-348.3747979271122
Tozeur,2010,6,0.0953482530490852,0.099222919759962,0.0038746667108767,45.1268443890193,46.33893168767216,0.9370987984940649,26.71458908016592,27.72878361412289,0.7739487094252379,5.831485065192926,2.685016981430361,3.6877811515969374,-3.1986518850266874,-0.6801231410475904,-292.23531124532866,303.1557141688939,303.1557141688939,0.0020732010966768,0.0020732010966768,283.24455982236543,283.24455982236543,827689880.9875574,827689880.9875574,-3.3438657295324825,-3.3438657295324825,0.6825533216891088,0.6825533216891088,,,,,46.488534220731445,104.29019544026286,-57,860,242.2664768143364,451.853569363701,125.42576767215724,35.92071673459261,30,537.6215020377783,1,18.41225530885338,30.005714168893917,10.094559822365454,3.008690630949972,3.4128165866466715,3.4128165866466715,0,2.0732010966768,827.6898809875574,390.50696690006765,-388.4337658033908
Tozeur,2010,7,0.0913342450991524,0.0939166189910453,0.002582373891893,47.67758936228558,49.385226949071146,1.1015292107402128,30.5731529527601,31.48427155209725,0.6421792683938702,0.0,0.0,0.0,-3.3128379722081065,-0.7044023071054225,-302.667583317058,306.3244551816337,306.3244551816337,0.0009792134074237,0.0009792134074237,285.6231019452686,285.6231019452686,866734187.9304502,866734187.9304502,-3.1021475490281296,-3.1021475490281296,0.5720516588334104,0.5720516588334104,,,,,46.488534220731445,104.29019544026286,-57,860,242.2664768143364,451.853569363701,125.42576767215724,39.12537115752284,31,654.8865058832081,1,17.10443640952548,33.17445518163373,12.473101945268638,3.6326572060449203,3.154451222687599,3.154451222687599,0,0.9792134074237001,866.7341879304502,420.2625976361923,-419.2833842287686
Tozeur,2010,8,0.092690338324568,0.0968654513972799,0.0041751130727116,45.22399327633251,48.182876688925305,2.149710015721159,29.19804097031214,31.35965701652141,1.5293309550454788,0.1931119515044002,0.1931119515044002,0.1208389563652721,-3.553373109425957,-0.7555468264020426,-324.6433603684297,306.00969677634095,306.00969677634095,3.521369947814434e-05,3.521369947814434e-05,287.17986372612256,287.17986372612256,788182621.1312156,788182621.1312156,-3.2528856889003417,-3.2528856889003417,0.7413918058563147,0.7413918058563147,,,,,46.488534220731445,104.29019544026286,-57,860,242.2664768143364,451.853569363701,125.42576767215724,37.21101712332232,31,595.541530822992,1,16.02595230602037,32.85969677634097,14.029863726122585,3.3889907685653995,3.3363044097988928,3.3363044097988928,0,0.03521369947814434,788.1826211312156,367.6454535837103,-367.61023988423216
Tozeur,2010,9,0.0930694222894864,0.0969237630283701,0.003854340738884,41.55389159238077,44.698992349046506,2.1492787932198727,23.809155581382136,26.435171581657883,1.884005221540434,12.83202454323737,7.969451151342469,2.1987882366171823,-3.98833288339542,-0.8480314787914642,-364.38216580711634,301.0053417955357,301.0053417955357,0.0066785474658105,0.0066785474658105,286.3420371593061,286.3420371593061,602403913.8144683,602403913.8144683,-1.3780132008809631,-1.3780132008809631,0.1264324232492271,0.1264324232492271,,,,,46.488534220731445,104.29019544026286,-57,860,242.2664768143364,451.853569363701,125.42576767215724,32.681523586881454,30,440.44570760644365,0,17.744736010998636,27.855341795535708,13.192037159306096,2.231519348844566,1.383801119905194,1.383801119905194,0,6.6785474658105,602.4039138144683,266.46611533697535,-259.78756787116487
Tozeur,2010,10,0.0991592876981159,0.0991592876981159,0.0,33.06374235457232,36.59552264657576,3.0688511540570613,16.2591867119707,18.62509679181461,1.9796030276819008,21.977548501813327,7.869230365409964,5.20219017094017,-3.423137585295412,-0.7278550997210984,-312.7447792481616,294.83542740078275,294.83542740078275,0.0152371046287906,0.0152371046287906,282.88205359840015,282.88205359840015,509471057.184036,509471057.184036,0.1972831868406691,0.1972831868406691,-0.0445480625145672,-0.0445480625145672,,,,,46.488534220731445,104.29019544026286,-57,860,242.2664768143364,451.853569363701,125.42576767215724,24.66146453327151,31,206.5054005314168,0,16.80455564260162,21.68542740078277,9.73205359840017,1.3875721465476043,0.20225030453329887,0.20225030453329887,0,15.2371046287906,509.471057184036,189.6695932330973,-174.43248860430668
Tozeur,2010,11,0.0921280766084236,0.100901031039863,0.0087729544314388,25.106015942203296,26.45503746798056,1.0784281458202671,11.660133896373967,13.695152282866124,1.987898717142721,17.661243037508765,11.332872129591308,3.168325461088617,-2.899013221187305,-0.6164115536179869,-264.85971635857663,287.9427856278551,287.9427856278551,0.0299284087769793,0.0299284087769793,280.31179993768933,280.31179993768933,375626590.704708,375626590.704708,1.3359711322610368,1.3359711322610368,0.1443918682415956,0.1443918682415956,,,,,46.488534220731445,104.29019544026286,-57,860,242.2664768143364,451.853569363701,125.42576767215724,18.38307491928863,30,11.492247578658947,0,13.445882045829329,14.792785627855096,7.161799937689352,0.6696846356760573,1.3437514196640445,1.3437514196640445,0,29.9284087769793,375.626590704708,103.2524328178661,-73.3240240408868
